카드종류,신용카드사명,신용카드번호,승인일자,사업자등록번호,거래처명,거래처유형,공급가액,세액,봉사료,합계금액,부가세공제여부,부가세유형,계정과목,품목(적요),수 량,단 가,대표자,업 태,종 목,사업장주소,부서/사원
1,,본인77*,2025/07/28,708-28-01198,킹프레소 초량부산점,,1818,182,,2000,공제,57,811,"킹프레소 초량부산점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/28,471-38-01126,아이스크림 할인,,9818,982,,10800,공제,57,811,"아이스크림 할인 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/28,411-86-01799,(주)우아한형제들,,24545,2455,,27000,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/29,105-87-65162,쿠팡,,30381,3039,,33420,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/29,105-87-65162,쿠팡,,13090,1310,,14400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/29,105-87-65162,쿠팡이츠,,28272,2828,,31100,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,105-87-65162,쿠팡이츠,,28181,2819,,31000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,105-87-65162,쿠팡이츠,,21727,2173,,23900,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,105-87-65162,쿠팡이츠,,15454,1546,,17000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/31,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/31,113-81-44055,(주)카카오,,9090,910,,10000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/30,119-86-23709,주식회사 비지에프네트웍스,,1636,164,,1800,공제,57,811,"주식회사 비지에프네트웍스 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,404-85-11763,(주)푸드엔 서면지점,,31000,3105,,34050,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,605-90-83898,연세정형외과,,7000,0,,7000,공제,58,811,"연세정형외과 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,220-81-55597,(주)카카오,,9090,910,,10000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,55181,5519,,60700,공제,57,811,"에이블리코퍼레이션 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리 코퍼레이션,,9000,900,,9900,공제,57,811,"에이블리 코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,34445,3445,,37890,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,17254,1726,,18980,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,411-86-01799,(주)카카오,,18181,1819,,20000,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,815-81-00527,에이블리코퍼레이션,,6272,628,,6900,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,815-81-00527,에이블리코퍼레이션,,18000,1800,,19800,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/03,691-05-00780,세븐일레븐 초량오거리점,,6000,600,,6600,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/02,105-87-65162,쿠팡(쿠페이),,7172,718,,7890,공제,57,811,"쿠팡(쿠페이) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/03,105-87-65162,쿠팡이츠,,21636,2164,,23800,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/03,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/01,815-81-00527,에이블리코퍼레이션,,-17183,-1719,,-18902,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/04,541-85-00911,(주)지오에너지 세원주유소,,54545,5455,,60000,공제,57,812,"(주)지오에너지 세원주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/04,105-87-65162,쿠팡,,26245,2625,,28870,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/04,105-87-65162,쿠팡이츠,,28181,2819,,31000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/04,815-81-00527,에이블리코퍼레이션,,12727,1273,,14000,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/05,605-92-44550,브릭스영수전문학원,,380000,0,,380000,공제,58,825,"브릭스영수전문학원 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/05,105-87-65162,쿠팡,,5445,545,,5990,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/05,815-81-00527,에이블리코퍼레이션,,2672,268,,2940,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,605-92-44550,브릭스영수전문학원,,105000,0,,105000,공제,58,825,"브릭스영수전문학원 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,105-87-65162,쿠팡,,9000,900,,9900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,220-81-55597,(주)우아한형제들,,24545,2455,,27000,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,815-81-00527,에이블리코퍼레이션,,40909,4091,,45000,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/31,605-81-39783,07월 부산교통지하철 3건,,4727,473,,5200,공제,57,812,"07월 부산교통지하철 3건 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/06,809-81-01574,씨제이올리브영(주)부산역점,,9545,955,,10500,공제,57,811,"씨제이올리브영(주)부산역점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/08,605-30-88695,대양주유소,,54545,5455,,60000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/08,899-11-01157,다이소 부산초량점,,5454,546,,6000,공제,57,811,"다이소 부산초량점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/08,113-81-44055,(주)카카오,,1636,164,,1800,공제,57,811,"(주)카카오 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,113-85-21083,Apple,,13636,1364,,15000,공제,57,811,"Apple 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,815-81-00527,(주)우아한형제들,,16000,1600,,17600,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡,,12272,1228,,13500,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡,,13090,1310,,14400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/09,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/10,691-05-00780,세븐일레븐 초량오거리점,,3636,364,,4000,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/10,460-04-01612,CU 뉴범천한라점,,10000,1000,,11000,공제,57,811,"CU 뉴범천한라점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/10,105-87-65162,쿠팡,,14818,1482,,16300,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/10,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/11,404-85-11763,(주)푸드엔 서면지점,,40909,4091,,45000,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/11,533-28-01255,아이슬란드 할인점,,11545,1155,,12700,공제,57,811,"아이슬란드 할인점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/11,105-87-65162,쿠팡,,5445,545,,5990,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/11,105-87-65162,쿠팡이츠,,19000,1900,,20900,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/12,605-30-88695,대양주유소,,54545,5455,,60000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/12,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/13,105-87-65162,쿠팡,,14545,1455,,16000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/13,105-87-65162,쿠팡,,15000,1500,,16500,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/13,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/13,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/13,815-81-00527,에이블리코퍼레이션,,4545,455,,5000,공제,57,811,"에이블리코퍼레이션 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/14,105-87-65162,쿠팡,,13090,1310,,14400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/14,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/15,105-87-65162,쿠팡,,13909,1391,,15300,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/15,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/16,404-85-11763,(주)푸드엔 서면지점,,23545,2355,,25900,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/16,105-87-65162,쿠팡,,2627,263,,2890,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/16,105-87-65162,쿠팡이츠,,21818,2182,,24000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/17,691-05-00780,세븐일레븐 초량오거리점,,5727,573,,6300,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/17,105-87-65162,쿠팡이츠,,24818,2482,,27300,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/18,105-87-65162,쿠팡,,2627,263,,2890,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/18,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/18,220-81-55597,(주)우아한형제들,,25454,2546,,28000,공제,57,811,"(주)우아한형제들 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/19,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/20,404-85-11763,(주)푸드엔 서면지점,,27272,2728,,30000,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/20,105-87-65162,쿠팡,,4545,455,,5000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/20,105-87-65162,쿠팡,,21727,2173,,23900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/20,105-87-65162,쿠팡,,17454,1746,,19200,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/20,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/21,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/21,105-87-65162,쿠팡이츠,,28181,2819,,31000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/22,605-30-88695,대양주유소,,54545,5455,,60000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/22,105-87-65162,쿠팡,,17272,1728,,19000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/22,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/23,105-87-65162,쿠팡,,10909,1091,,12000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/23,105-87-65162,쿠팡,,9909,991,,10900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/24,691-05-00780,세븐일레븐 초량오거리점,,8181,819,,9000,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/24,105-87-65162,쿠팡,,13090,1310,,14400,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/24,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/25,404-85-11763,(주)푸드엔 서면지점,,23000,2305,,25305,공제,57,811,"(주)푸드엔 서면지점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/25,105-87-65162,쿠팡,,22454,2246,,24700,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/25,105-87-65162,쿠팡,,14545,1455,,16000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/25,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/25,105-87-65162,쿠팡이츠,,19000,1900,,20900,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/26,105-87-65162,쿠팡,,12272,1228,,13500,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/26,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/27,605-30-88695,대양주유소,,54545,5455,,60000,공제,57,812,"대양주유소 카드사용 (할부3개월)",,,,,,,,
1,,본인77*,2025/08/27,105-87-65162,쿠팡,,5445,545,,5990,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/27,105-87-65162,쿠팡이츠,,20000,2000,,22000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/28,105-87-65162,쿠팡,,30818,3082,,33900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/28,105-87-65162,쿠팡,,22636,2264,,24900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/28,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/29,105-87-65162,쿠팡,,10000,1000,,11000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/29,105-87-65162,쿠팡이츠,,28181,2819,,31000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/30,691-05-00780,세븐일레븐 초량오거리점,,10000,1000,,11000,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/30,105-87-65162,쿠팡,,9000,900,,9900,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/30,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/31,113-86-10017,(주)대홍기획,,15818,1582,,17400,공제,57,811,"(주)대홍기획 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/31,113-86-10017,(주)대홍기획,,15818,1582,,17400,공제,57,811,"(주)대홍기획 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/30,815-81-00527,롯데워터파크,,-6000,0,,-6000,공제,58,811,"롯데워터파크 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/31,119-81-84716,정선 수제닭강정,,13636,1364,,15000,공제,57,811,"정선 수제닭강정 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/08/31,119-81-84716,(주)엘케이한성 동래지사,,8636,864,,9500,공제,57,811,"(주)엘케이한성 동래지사 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/09/01,691-05-00780,세븐일레븐 초량오거리점,,50727,5073,,55800,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/09/01,105-87-65162,쿠팡,,17272,1728,,19000,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/09/01,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/09/02,105-87-65162,쿠팡이츠,,12727,1273,,14000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,